হাউস ২৬, হযরত নগর ১ নং লেন, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১১০/২, হাজী আফসারুদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬/২, হাজারীবাগ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৫, হাজারীবাগ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৪/ভি/৫, পাবনা হাউস গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ২২৭/২/বি/১, ইস্তিয়া মঞ্জিল রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩০, Road ১৯, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩০৫, আল আমিন মসজিদ গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৩৭, হজরত রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৪, মধ্য রসুলপুর ৫ নং গলি(মোতালেব মেম্বার গলি), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৭৩৬, এলইভিইএল-৮, সাতমসজিদ রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮৯/১, রোড ১২/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৪/এ, শের ই বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১১, সাউথ রিভার ব্যাংক  তুলাতলা(নয়াগাও রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২২১, ১২ ফুট রাস্তা, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৫৩, আল-মদিনা লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০৬, সাত মসজিদ গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৮, মিডেল রসুলপুর ৩ নং গলি আলোরন গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫, সেকশন ঢাল রোড(এম.সি.রায় রোড), হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯৬, প্রাইভেট ওয়ে(ঝাউচর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৯৪/২, রায়ের বাজার অল্টার গেট গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৪২, হাসান নগর জামে মসজিদ গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৩৭/৩, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১, আমিন একাডেমী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস /৬/এ, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৮৭, আসাদুল্লাহ প্রাইভেট লেন, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৪১/১২, হাজী আফসার উদ্দিন লেন, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৬৯, মুন্সী বাড়ি মাদ্রাসা গলি, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৬৮/১/বি, খায়রুন্নেছা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪১/২৩/১, ৪১/২৩ রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬/৩/এ, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩৪, শেরে বাংলা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৬, নবিপুর তেজ হাজারীবাগ , বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৪/ই/(জি), বাবরি মসজিদ গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১৯৮/১, কাজীরবাগ লেন ১, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬১, দুরী আঙ্গুল লেন নবাবগঞ্জ, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ১০৬, জাউলাহাটি ১ নং গলি, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৯/৭, মুন্সী বাড়ি রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৯/১, নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩০, বড় মসজিদ গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৫৯,  মধ্য (মিডেল) রসুলপুর ২ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৯৮, এম। রহমত আলী রোড(ওয়েস্ট রসুলপুর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩২/২২, দেশনেএী সোসায়টি লেন (পারটেন গলি), রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১২৭, এশিয়া গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮/কেএ/১(বি), সনাতনগড়, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩১১, , জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৪৬, পাঠশালা গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৮/১, বাড্ডানগর লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১৫, রসুলপুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৯৪, খন্দকার গলি(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৬/১১, স্টাপ কোয়াটার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২১/১(এ), সাতমসজিদ রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭০, মনেশ্বর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৭৩, তাজু হোসেন রোড(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৯, বাড্ডানগর লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৯, হযরত নগর ১ নং লেন, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২১৯, পূর্ব(ইস্ট) রসুলপুর ১ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১২২/এ, পুরান  ট্যানারি গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩৭/৬, হাজী আক্তার হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০/২/(বি), মাজার গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮, হাজী সাত্তার রোড(হাসান নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৯৪, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫০, প্রাইভেট লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৯/সি, কমিউনিটি সেন্টার গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৩৫/সি, প্রাইভেট গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৭১/২৫, ধলাই কারখান রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৮,৬৯, হোসেন উদ্দিন খান লেন ১ নং, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ৪১, লোলিত মোহন দাস লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮৯, আনসারি প্লাজা ১ নং। গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১৭৯/এ, পূর্ব রায়ের বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩২৩, মিডেল রাসুলপুর ৩ নং রোড ওল্ড কমিউনিটি সেন্টার ১ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২, সল্ট ফ্যাক্টরি  গলি, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২১/৭, বিবরন কাচরা রোড, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ৭৮, হাসান নগর নূর মসজিদ রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৪, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৮০/এ, শের-ই-বাংলা রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৩৩, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৬, হাসান নগর, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫৯/এ, ধানমন্ডী, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৭/এ/৯, বুদ্ধিজীবী রোড, জাফরাবাদ, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৩৩, রোড ১, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ২৯৫/টিএ, সুলতানগজ্ঞ রোড (ট্যালি অফিস রোড), টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৮৫/৫, নবাবগঞ্জ মেইন রোড, কোম্পানি ঘাট, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪১/৪, মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৭/ই, মাদ্রাসা গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৩, গজমহল রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৩(এ), মনেশ্বর রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১(বি), বন্ধুমহল রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০(এ), সেকশন ঢাল রোড(এম.সি.রায় রোড), হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫০,  হাজারীবাগ লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৭/এ/২, বাড্ডা নগর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৭৮, রসুলপুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ১২, রসুলপুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫৫, রোড ১২/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩২, ইমান আলী লেন, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৫/২, ঘড়িঘর কমিশনার গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২০, ঝাউ চর বাজার রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৮এ, সাঈদ শাহ বাবা মাজার গলী, নওয়াবগঞ্জ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৫/সি, আব্দুল হালিম, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২০, রোড ১৩/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩২০, নয়াগাও রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৩১/কেএইচএ/(বি), হাজারীবাগ মনেশ্বর রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৪৫, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৭, রোড ১০, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৬০, ইয়াসিন আলী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৯৮, খন্দকার গলি(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ৯৫, রসুল্পুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৬/৩(বি), সাদেক খান রোড, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১১৭/এ, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪৩, হাজী আব্দুল হাইওয়ে রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৮৪, Road ১৯, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৬/১, স্টাপ কোয়াটার রোড, মনেশ্বর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১১৬/১, প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪১/২৫, মূলভি সালেক লেন , জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৫৩, জাউলা হাটি চৌরাস্তা রোড(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৭১/৪০, এম শাখাওয়াত হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৯৪/এ, মনিপুরি রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৮২/২(বি), প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৯/এ, চরকঘাট রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪৩/সি, হাজী আব্দুল হাই রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১১/২, নবাবগঞ্জ মেইন রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১২৫, হাজারীবাগ বাজার ফকির রোড, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫২/১, সৈয়দ শাহ বাবা মাজার গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০৮, ভাণ্ডারিজ মসজিদ ৪ নং গলি, হাসান নগর, লালবাগ থানা, ঢাকা জেলা
হাউস ৫, সল্ট ফ্যাক্টরি  গলি, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৫২, জাউলাহাটি ৪ নং গলি(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৩৬/সি/১, পান্থশালা রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৬৩, হাসান নগর ৩ নং লেন(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১২৯/৩, শের-ই-বাংলা মেইন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৪, নাইন ব্রাদার রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৯০, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১৬, মুন্সী হাটি রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৬০, মিডেল রাসুলপুর ৩ নং রোড ওল্ড কমিউনিটি সেন্টার ১ নং গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২৭/বি, বাড্ডা নগর রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৪২২, খন্দকার গলি(হযরত নগর রোড), কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২৪, নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১০৪/এ/৯(বি), বুদ্ধিজীবী রোড, জাফরাবাদ, মোহাম্মদপুর, ঢাকা জেলা
হাউস ৪৬/২/জি, পিডব্লিউডি কলোনী রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬, শের-ই-বাংলা রোড, পিলখানা, নিউ মার্কেট থানা, ঢাকা জেলা
হাউস ১৯৫, মুক্তি সিনেমা গলি, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২৮২/কেএইচএ, শাহ সাহেব বারি লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৪/২, মাজার গলি, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ২১৭/সি/৩, রায়ের বাজার রোড (মাদ্রাসা গলি), পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৯১, ডায়মন্ড হোটেল লেন, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৮৭, জাউলা হাটি রোড(হযরত নগর রোড), মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৯/১, নবাবগঞ্জ রোড মদনাখাট, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩৩(২), প্রাইভেট লেন, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৩/২(বি), রোড ৪, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১২৫, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩৭, আমিন একাডেমী গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ২২২, নয়াগাওঁ রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ২১/১(বি), গজমহল রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৫৯/২, হোসেন উদ্দিন খান লেন ১ নং, আমিলোগোলা, লালবাগ থানা, ঢাকা জেলা
হাউস ১৮৭/৩২,  সাত মস্ক গলি , পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪/১, গজমহল রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৩০/১, রোড ৪, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২২৪, হাসান নগর রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৩৫, মিতালি রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪১/৫, হাজী আফসার উদ্দিন লেন, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৫৩/৪, নিমতলা -টেলি অফিস রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৪১/১৪/এ, হাজী আফসার উদ্দিন লেন, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭১/৩৮, এম শাখাওয়াত হোসেন রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২১৩/এ(বি), সাত মসজিদ গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৭৫, হাজী আফসার উদ্দিন লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৭২, পূর্ব (ইস্ট) রাসুলপুর মেইন রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৮৩/বি(এ), পাবনা হাউস গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১৮/১২, তল্লাবাঘ রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩০০(এ), বিজয় লেন, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৪, সাতমসজিদ রোড, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১০৫, চেয়ারম্যান গলি, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩২/এ, জিগাতলা মেইন রোড, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৬/১(বি), নবাবগঞ্জ মেইন রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৮৮/সি,  সাত মস্ক গলি , পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৪৪, পূর্ব (ইস্ট) রসুলপুর ৬ নং রোড, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৬৫(এ), হাজারীবাগ রোড, হাজারীবাগ, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ১৮/২, ট্যালি অফিস রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৬৬/১, হাজী আফসার উদ্দিন রোড, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৫৫, শের-ই-বাংলা মেইন রোড, রায়ের বাজার, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৬৩, রোড ৭/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৬০, হাসান নগর ৩ নং রোড, হাসান নগর, লালবাগ থানা, ঢাকা জেলা
হাউস ৫২০, হযরত নগর রোড, কামরাঙ্গীরচর, লালবাগ থানা, ঢাকা জেলা
হাউস ১১৫, রোড ৯/এ, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৫৬/১, দুর্গা মন্দির গলি, শংকর, মোহাম্মদপুর, ঢাকা জেলা
হাউস ১৮৮/এ,  সাত মস্ক গলি , পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ৩/এম/২, রোড ৭/এ, জিগাতলা, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ২৩২, হাসান নগর জামে মসজিদ গলি, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৫২, রোড ৪/এ, ধানমন্ডি, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১৯৪, মধু বাজার রোড, পশ্চিম ধানমন্ডি ও শংকর, ধানমন্ডি থানা, ঢাকা জেলা
হাউস ১১৪/২, হাজারীবাগ রোড গলি, বুরহানপুর, হাজারীবাগ থানা, ঢাকা জেলা
হাউস ৯৩/৫, হাসান নগর নূর মসজিদ সড়ক, মুসীহাটি, লালবাগ থানা, ঢাকা জেলা
হাউস ৮৮/এ, বেবি স্টোর লেন, টাল্লাবাগ, ধানমন্ডি থানা, ঢাকা জেলা
